"No.","Date","Genre","Bibl","ContextBefore","Hit","ContextAfter"
"83","1999-04-15","Zeitung","Die Zeit, 15.04.1999, Nr. 16","Saudi-Arabien möchte , daß die Ausländer","zu","Hause von einem modernen Industriestaat erzählen , in dem das Leben in Häusern und Festungen aus gestampftem Lehm nur noch eine ferne Erinnerung ist ."
"84","1999-03-18","Zeitung","Die Zeit, 18.03.1999, Nr. 12","Als ich wieder","zu","Hause war , sagte ich ihn unter der Dusche vor mich hin :"
"85","1998-12-31","Gebrauchsliteratur","Hannover, Heinrich: Die Republik vor Gericht 1954 - 1974, Berlin: Aufbau-Taschenbuch-Verl. 2001 [1998], S. 20","Ich hätte meinen Jungvolk- und Hitler-Jugend-Kameraden nicht davon erzählen mögen , was ich","zu","Hause spielte , was ich las , was ich schrieb und was meine Phantasie beschäftigte ."
"86","1998-12-31","Gebrauchsliteratur","Hannover, Heinrich: Die Republik vor Gericht 1954 - 1974, Berlin: Aufbau-Taschenbuch-Verl. 2001 [1998], S. 161","Wenn Sie so unter Kreislaufstörungen leiden , sollten Sie doch","zu","Hause bleiben ."
"87","1998-12-31","Gebrauchsliteratur","Hannover, Heinrich: Die Republik vor Gericht 1954 - 1974, Berlin: Aufbau-Taschenbuch-Verl. 2001 [1998], S. 163","Die Angeklagte , die vom Richter schon den Rat bekommen hatte , sie hätte wegen ihrer Kränklichkeit lieber","zu","Hause bleiben sollen , erzählt , daß sie die ganze Nacht Schüttelfrost und Herzklopfen gehabt habe ."
"88","1998-12-31","Gebrauchsliteratur","Hannover, Heinrich: Die Republik vor Gericht 1954 - 1974, Berlin: Aufbau-Taschenbuch-Verl. 2001 [1998], S. 187","Man ließ ihm nicht einmal Zeit , Reiseutensilien und Paß , den man damals noch brauchte , wenn man Berlin verließ , von","zu","Hause zu holen ."
"89","1998-12-31","Gebrauchsliteratur","Hannover, Heinrich: Die Republik vor Gericht 1954 - 1974, Berlin: Aufbau-Taschenbuch-Verl. 2001 [1998], S. 221","Der Lehrling Uwe Ruß und mit ihm ein paar Tausend aufmüpfige junge Leute hätten brav","zu","Hause bleiben sollen ."
"90","1998-12-31","Gebrauchsliteratur","Hannover, Heinrich: Die Republik vor Gericht 1954 - 1974, Berlin: Aufbau-Taschenbuch-Verl. 2001 [1998], S. 411","U.W. war mit den Kindern allein","zu","Hause ."
"91","1998-12-31","Belletristik","Hermann, Judith: Sommerhaus, später, Frankfurt a. M.: Fischer-Taschenbuch-Verl. 2000 [1998], S. 51",""" Dein Abflug in zwei Tagen ist überhaupt kein Problem , sie fliegen noch bis Ende der Woche , erst dann , erst wenn du wieder","zu","Hause bist , wird es losgehen . """
"92","1998-12-31","Belletristik","Hermann, Judith: Sommerhaus, später, Frankfurt a. M.: Fischer-Taschenbuch-Verl. 2000 [1998], S. 53","Christine dachte wirr , daß Rumtrinken","zu","Hause etwas völlig anderes war , als Rumtrinken auf der Insel , und hörte Kaspar ihren Namen rufen ."
"93","1998-12-31","Belletristik","Hermann, Judith: Sommerhaus, später, Frankfurt a. M.: Fischer-Taschenbuch-Verl. 2000 [1998], S. 64","Sie war nicht","zu","Hause ."
"94","1998-12-31","Belletristik","Hermann, Judith: Sommerhaus, später, Frankfurt a. M.: Fischer-Taschenbuch-Verl. 2000 [1998], S. 80","Sie war","zu","Hause , öffnete mir unkonzentriert und offensichtlich in Erwartung eines anderen die Tür , dann lächelte sie und sagte : "" Dir geht es gut , ja ? """
"95","1998-12-31","Belletristik","Jentzsch, Kerstin: Iphigenie in Pankow, Erfurt: Desotron Verl.-Ges. 1998, S. 69","Ich bin dann nicht","zu","Hause , sondern begebe mich in die Obhut fremder Menschen und erwarte mindestens die Annehmlichkeiten , die ich daheim habe und etwas mehr , denn ich bezahle für meinen Aufenthalt und möchte alle meine Sinne verwöhnt wissen . """
"96","1998-12-31","Belletristik","Jentzsch, Kerstin: Iphigenie in Pankow, Erfurt: Desotron Verl.-Ges. 1998, S. 70",""" Ich sagte , daß ich mich in einem Hotel mindestens genauso wohl fühlen möchte wie","zu","Hause ."
"97","1998-12-31","Belletristik","Jentzsch, Kerstin: Iphigenie in Pankow, Erfurt: Desotron Verl.-Ges. 1998, S. 73","Da ich nicht","zu","Hause bin und selber kochen kann , muß ich mich auf die Küche verlassen können , die übrigens auch dann noch für mich da ist , wenn ich abends später komme . """
"98","1998-12-31","Gebrauchsliteratur","Kellner, Hedwig: Das geheime Wissen der Personalchefs, Frankfurt a. M.: Eichborn 1998, S. 80","Das wissen die Kontrollettis und sind deshalb stets","zu","Hause ."
